Имя теста,Время (с),Размерность,crit1,crit2,Средняя память (MB),Максимальная память (MB),Кол. уравнений,Кол. переменных,Память в секунду (MB/s),Сумма критериев
dessin2,6.3662,10,558,323,51.5498,62.0078,10,10,9.7402,881
eco7,1.5850,7,262,214,36.6862,54.2812,7,7,34.2468,476
eco8,13.3733,8,755,914,55.0083,60.3125,8,8,4.5099,1669
eco9,147.4698,9,2277,3651,69.2088,71.2109,9,9,0.4829,5928
extcyc4,0.3536,5,137,456,27.3945,53.5000,5,5,151.3009,593
extcyc5,57.3026,6,738,9176,70.7140,86.6562,6,6,1.5123,9914
f633,1.2664,10,318,594,35.9948,53.2031,9,10,42.0113,912
f744,248.8223,12,3711,4156,104.5929,120.0273,12,12,0.4824,7867
fabrice24,107.0555,9,1227,1010,107.3229,130.5273,9,9,1.2192,2237
filter9,131.8091,9,5636,15637,83.7947,97.5234,9,9,0.7399,21273
geneig,0.5654,6,94,51,27.8887,54.2148,6,6,95.8876,145
hairer1,0.0330,8,42,24,26.8203,52.0898,6,8,1578.4801,66
hcyclic5,0.1435,6,89,545,27.5000,53.2188,5,6,370.8624,634
hcyclic6,5.1390,7,273,4118,48.3052,56.4922,6,7,10.9928,4391
heart,0.0728,8,75,3,27.2754,53.1094,8,8,729.5244,78
hemmecke,0.0443,4,11,14,26.8320,52.3711,3,4,1182.1917,25
hf744,170.3877,13,1906,17996,76.7538,82.4648,12,13,0.4840,19902
hietarinta1,104.7822,10,3625,3143,92.5686,104.3945,62,10,0.9963,6768
hunecke,0.0055,5,1,15,26.7148,51.8594,8,5,9428.9773,16
i1,247.5926,12,3511,3498,187.9580,234.4102,10,12,0.9468,7009
issac97,0.1383,4,25,15,27.8730,53.6562,4,4,387.9700,40
jcf26,166.6975,34,3652,1007,129.9919,154.4766,34,34,0.9267,4659
katsura6,5.8580,7,280,428,49.2280,56.3164,7,7,9.6136,708
katsura7,48.8620,8,719,1755,63.0290,65.7070,8,8,1.3447,2474
katsura8,437.3055,9,2237,7433,98.3085,104.6992,9,9,0.2394,9670
kin1,43.6965,12,2022,1816,77.7367,95.0078,12,12,2.1743,3838
kinema,5.2514,9,377,319,48.4537,56.8320,9,9,10.8223,696
ku10,0.1357,10,795,126,27.1562,52.7539,10,10,388.7539,921
lanconelli,0.0038,11,7,2,26.7070,51.8555,4,11,13646.1760,9
lichtblau,0.6437,3,4,110,29.9258,58.3203,2,3,90.6017,114
liu,0.0368,6,19,25,26.8340,52.0898,4,6,1415.4849,44
lorentz,0.0238,4,30,25,26.6621,52.0547,4,4,2187.1717,55
matrix,2.1108,16,4951,6796,41.6934,54.2383,16,16,25.6956,11747
mickey,0.0002,2,1,0,26.5859,51.6953,2,2,258476.5625,1
morgenstern,0.1649,9,114,161,27.2188,52.5508,5,9,318.6827,275
noon5,6.9847,5,304,1995,49.9536,56.6055,5,5,8.1042,2299
noon6,177.7284,6,1427,16135,67.8498,69.6953,6,6,0.3921,17562
puma,0.0492,8,84,7,27.3652,53.1719,8,8,1080.7292,91
quadfor2,0.0016,5,8,0,26.6699,51.7148,4,5,32321.7773,8
quadgrid,0.0274,6,22,2,27.1387,52.6680,5,6,1922.1886,24
rabmo,2.0670,9,318,68,41.3682,54.6797,9,9,26.4536,386
rbpl,181.6966,8,1454,7240,74.6387,79.5039,6,8,0.4376,8694
rbpl24,107.8549,9,1227,1008,107.7867,130.7227,9,9,1.2120,2235
redcyc5,0.2552,6,93,158,27.4727,53.5000,5,6,209.6395,251
redcyc6,9.6453,7,414,1955,51.3040,56.9297,6,7,5.9023,2369
redeco10,164.3008,10,7418,24789,74.6323,80.3789,10,10,0.4892,32207
redeco7,0.7319,7,203,236,36.4727,53.8242,7,7,73.5404,439
redeco8,4.2666,8,659,1242,46.6771,56.0938,8,8,13.1472,1901
redeco9,21.8057,9,2194,5742,56.7257,60.2305,9,9,2.7621,7936
reif,0.0762,16,302,24,26.9844,52.3789,14,16,687.3872,326
reimer4,4.3016,4,64,312,47.1029,56.8516,4,4,13.2164,376
reimer5,79.0985,5,279,1964,74.3041,81.0000,5,5,1.0240,2243
rose,0.2069,3,12,110,27.4707,53.4258,3,3,258.2203,122
s9_1,0.0658,8,74,9,27.2266,53.1602,8,8,807.9051,83
solotarev,0.0087,4,18,2,27.1504,51.8789,4,4,5963.0927,20
sparse5,0.0016,5,10,0,26.9219,51.7344,5,5,32333.9844,10
speer,8.9423,6,104,1934,51.5678,57.5977,4,6,6.4410,2038
tangents,1.5886,6,226,127,37.2031,55.3477,6,6,34.8405,353
test,0.0066,3,1,4,26.8574,51.8320,4,3,7853.3381,5
uteshev_bikker,0.4039,4,36,66,28.0371,54.4570,4,4,134.8280,102
vermeer,1.1347,5,58,246,36.6185,54.2031,4,5,47.7687,304
